groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWonPercentage,wasFouled,dispossessed,accurateFinalThirdPasses,bigChancesCreated,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,dribbledPast,bigChancesMissed,hitWoodwork,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,season,league,nation,pos,age,born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Tkl,TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Chall_Tkl,Chall_Att,Chall_Tkl%,Chall_Lost,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Mn/MP,Min%,Compl,Subs,unSub,Team_Succ_PPM,Team_Succ_onG,Team_Succ_onGA,Team_Succ_+/-,Team_Succ_+/-90,Team_Succ_On-Off,Team_Succ_onxG,Team_Succ_onxGA,Team_Succ_xG+/-,Team_Succ_xG+/-90,Team_Succ_On-Off.1,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,Aerial_Won,Aerial_Lost,Aerial_Won%,Gen. Role,Role,xGoalsAdded,xGoalsAdded_p90,DAVIES,DAVIES_Box Activity,DAVIES_Shooting,DAVIES_Final Ball,DAVIES_Dribbles and Carries,DAVIES_Buildup Passing,DAVIES_Defense,DAVIES_p90,DAVIES_Box Activity_p90,DAVIES_Shooting_p90,DAVIES_Final Ball_p90,DAVIES_Dribbles and Carries_p90,DAVIES_Buildup Passing_p90,DAVIES_Defense_p90,team_elo,team_rank,DAVIES_next_season
100,47.85,50.0,18,34,319,13,57,25,32.89,15,75.0,10,5,3,0,0,1,leroy sane,fc bayern munchen,2023-2024,gerbundesliga,GER,FW,28,1996.0,16,16,1386,15.4,8,10,18,8,0,0,2,0,8.8,8.8,9.1,17.8,85.0,74.0,182.0,0.52,0.65,1.17,0.52,1.17,0.57,0.59,1.16,0.57,1.16,49.0,23,46.9,3.18,1.49,0.16,0.35,16.9,5.0,0.18,-0.8,-0.8,556.0,697.0,79.8,8222.0,2008.0,335.0,385.0,87.0,157.0,187.0,84.0,41.0,69.0,59.4,7.6,0.9,52.0,24.0,28.0,1.0,697.0,625.0,70.0,10.0,7.0,3.0,58.0,5.0,43.0,17.0,21.0,0.0,556.0,2.0,21.0,101.0,6.56,67.0,17.0,8.0,4.0,4.0,1.0,16.0,1.04,11.0,2.0,1.0,1.0,0.0,1.0,10.0,5.0,4.0,4.0,2.0,4.0,13.0,30.8,9.0,9.0,0.0,9.0,3.0,13.0,2.0,0.0,900.0,3.0,65.0,277.0,577.0,96.0,900.0,116.0,63.0,54.3,45.0,38.8,621.0,5121.0,2818.0,85.0,55.0,32.0,37.0,30.0,703.0,182.0,87,96.3,12.0,0,0,2.56,50.0,14.0,36.0,2.34,0.67,44.4,10.7,33.7,2.19,1.36,0.0,16,16.0,5.0,58.0,0.0,0.0,0.0,55.0,2.0,2.0,50.0,Dribbler,Wide Dribbler,7.51371805163162,0.487903769586469,5.52117370770189,0.804563127036547,2.70907367166379,1.50772851174347,0.799755696368621,-0.0086760287999396,-0.0639733981991005,0.266939186182991,0.0282472224404849,0.133808900973587,0.0829967756916015,0.0480864848374002,0.0038229314493487,-0.0133365018585513,1952.37182617,3.0,0.5547060599815999
44,46.32,42.55,26,28,135,9,20,6,33.33,22,51.16,8,11,1,0,0,0,harry kane,fc bayern munchen,2023-2024,gerbundesliga,ENG,FW,30,1993.0,16,16,1408,15.6,22,5,27,19,3,3,1,0,15.9,13.5,5.0,18.6,18.0,45.0,75.0,1.41,0.32,1.73,1.21,1.53,1.02,0.32,1.34,0.87,1.19,68.0,34,50.0,4.35,2.17,0.28,0.56,15.2,2.0,0.2,6.1,5.5,235.0,334.0,70.4,4312.0,1394.0,112.0,133.0,84.2,81.0,111.0,73.0,33.0,54.0,61.1,4.1,0.0,19.0,38.0,19.0,2.0,334.0,321.0,12.0,3.0,12.0,8.0,15.0,3.0,1.0,0.0,0.0,0.0,235.0,1.0,15.0,47.0,3.0,32.0,1.0,3.0,4.0,7.0,0.0,6.0,0.38,5.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,1.0,2.0,3.0,11.0,27.3,8.0,5.0,1.0,4.0,4.0,10.0,10.0,0.0,506.0,11.0,42.0,200.0,267.0,89.0,503.0,27.0,12.0,44.4,12.0,44.4,340.0,1642.0,699.0,18.0,11.0,8.0,22.0,26.0,389.0,75.0,88,97.8,12.0,0,0,2.56,48.0,14.0,34.0,2.17,-6.26,44.2,10.7,33.5,2.14,0.06,0.0,3,24.0,7.0,15.0,0.0,0.0,0.0,30.0,19.0,26.0,42.2,Finisher,Progressive Forward,7.96564136352333,0.509167416702486,5.6618318672413,0.553137149837626,3.98710285627912,0.852297714387096,-0.0208334747156631,0.427641978612328,0.0087390841500583,0.276664578145929,0.015873665254298,0.200276706375921,0.0454958504604752,0.0001607724562288,0.0344537631780626,-0.0069728254338158,1952.37182617,3.0,0.5765099506498245
33,57.89,30.77,9,9,306,4,38,30,36.14,54,65.85,7,0,0,1,0,0,joshua kimmich,fc bayern munchen,2023-2024,gerbundesliga,GER,MF,28,1995.0,12,12,946,10.5,1,3,4,1,0,0,0,1,0.5,0.5,2.6,3.2,14.0,113.0,18.0,0.1,0.29,0.38,0.1,0.38,0.05,0.25,0.3,0.05,0.3,15.0,5,33.3,1.43,0.48,0.07,0.2,26.4,1.0,0.03,0.5,0.5,890.0,1030.0,86.4,16747.0,4738.0,322.0,343.0,93.9,450.0,488.0,92.2,99.0,165.0,60.0,3.9,0.4,33.0,101.0,20.0,2.0,1030.0,922.0,105.0,39.0,10.0,5.0,73.0,5.0,61.0,17.0,34.0,2.0,890.0,3.0,6.0,61.0,5.8,34.0,24.0,0.0,2.0,0.0,1.0,5.0,0.48,2.0,2.0,0.0,1.0,0.0,0.0,22.0,16.0,8.0,10.0,4.0,12.0,18.0,66.7,6.0,14.0,2.0,12.0,9.0,31.0,7.0,1.0,1110.0,31.0,168.0,645.0,302.0,2.0,1110.0,3.0,0.0,0.0,2.0,66.7,688.0,3641.0,1529.0,14.0,30.0,0.0,9.0,9.0,839.0,18.0,79,65.7,8.0,0,0,2.42,28.0,11.0,17.0,1.62,-2.03,28.9,6.8,22.0,2.09,-0.13,0.0,5,6.0,0.0,73.0,0.0,0.0,0.0,78.0,3.0,3.0,50.0,Deep Midfielder,Playmaking Deep Midfielder,2.81146046593098,0.267475097181594,0.917917870513485,-0.0439995460098112,0.122446564828784,0.577751201205061,-0.0463985693591586,0.823324802321878,-0.237738599927053,0.120082539626789,-0.0041450874982458,0.0170661785310389,0.0554970552542356,-0.0043692197391016,0.0822171742332368,-0.0143632878633862,1952.37182617,3.0,0.47174131480495274
79,49.38,45.45,17,26,158,3,18,0,0.0,2,50.0,11,5,1,0,0,0,jamal musiala,fc bayern munchen,2023-2024,gerbundesliga,GER,"MF,FW",20,2003.0,11,8,735,8.2,5,2,7,5,0,0,1,0,3.3,3.3,1.9,5.2,38.0,43.0,56.0,0.61,0.24,0.86,0.61,0.86,0.41,0.23,0.64,0.41,0.64,18.0,8,44.4,2.2,0.98,0.28,0.63,18.2,0.0,0.18,1.7,1.7,250.0,308.0,81.2,3276.0,917.0,159.0,182.0,87.4,69.0,78.0,88.5,7.0,11.0,63.6,2.4,0.1,15.0,24.0,17.0,0.0,308.0,301.0,2.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,250.0,5.0,12.0,45.0,5.51,32.0,0.0,3.0,4.0,3.0,3.0,9.0,1.1,8.0,0.0,0.0,0.0,1.0,0.0,22.0,17.0,6.0,13.0,3.0,11.0,19.0,57.9,8.0,15.0,1.0,14.0,6.0,28.0,2.0,0.0,440.0,3.0,49.0,185.0,222.0,40.0,440.0,60.0,32.0,53.3,25.0,41.7,312.0,2020.0,1149.0,38.0,23.0,11.0,29.0,24.0,338.0,56.0,67,51.0,0.0,3,1,2.36,26.0,5.0,21.0,2.57,0.53,21.5,6.7,14.8,1.81,-0.67,0.0,12,13.0,1.0,3.0,0.0,0.0,0.0,48.0,3.0,4.0,42.9,Creator,Two Way Creator,3.09134308990367,0.37853180692698,2.02107494888365,0.326853770358597,0.848379247100948,0.315505606428828,0.233660700914719,0.0505379406946651,0.0644538393410745,0.200056241806071,0.0300658963692536,0.0815238203796253,0.0373644843844824,0.0263946451072508,0.0078835784343653,0.0097398122908099,1952.37182617,3.0,0.5092753205404671
55,47.01,37.5,17,20,207,4,27,14,25.93,10,66.67,7,3,3,0,0,0,kingsley coman,fc bayern munchen,2023-2024,gerbundesliga,FRA,FW,27,1996.0,12,11,853,9.5,3,3,6,3,0,0,1,0,2.4,2.4,3.6,6.1,58.0,45.0,141.0,0.32,0.32,0.63,0.32,0.63,0.26,0.38,0.64,0.26,0.64,26.0,6,23.1,2.74,0.63,0.12,0.5,16.8,0.0,0.09,0.6,0.6,364.0,448.0,81.3,5792.0,1094.0,187.0,220.0,85.0,148.0,164.0,90.2,19.0,33.0,57.6,3.7,-0.6,24.0,11.0,27.0,7.0,448.0,435.0,10.0,1.0,1.0,3.0,39.0,4.0,2.0,0.0,0.0,0.0,364.0,3.0,13.0,52.0,5.49,42.0,0.0,6.0,2.0,2.0,0.0,7.0,0.74,6.0,0.0,0.0,1.0,0.0,0.0,11.0,6.0,5.0,3.0,3.0,8.0,13.0,61.5,5.0,12.0,1.0,11.0,2.0,13.0,5.0,0.0,570.0,4.0,62.0,180.0,334.0,65.0,570.0,52.0,24.0,46.2,24.0,46.2,412.0,2969.0,1600.0,58.0,29.0,28.0,21.0,17.0,464.0,141.0,71,59.2,2.0,1,1,2.58,28.0,9.0,19.0,2.0,-0.76,27.1,5.8,21.3,2.25,0.26,0.0,5,17.0,1.0,39.0,0.0,0.0,0.0,35.0,2.0,4.0,33.3,Dribbler,Wide Dribbler,3.18171444000162,0.335702578663711,1.18917009607189,0.41485286237822,0.268435040258058,0.473795043248994,0.34466644462694,-0.0647490441713444,-0.0205323781574874,0.114737995260233,0.0360965086305001,0.0200609094639049,0.0499061316650106,0.03657877892228,-0.0071156193111442,-0.0041020867594383,1952.37182617,3.0,0.49775155153215583
28,47.46,61.76,9,7,176,5,12,1,33.33,16,57.14,14,2,1,0,0,1,leon goretzka,fc bayern munchen,2023-2024,gerbundesliga,GER,MF,28,1995.0,12,10,844,9.4,2,2,4,2,0,0,0,0,2.5,2.5,1.7,4.3,27.0,56.0,33.0,0.21,0.21,0.43,0.21,0.43,0.27,0.19,0.46,0.27,0.46,28.0,7,25.0,2.99,0.75,0.07,0.29,16.5,0.0,0.09,-0.5,-0.5,503.0,566.0,88.9,7784.0,1997.0,266.0,290.0,91.7,197.0,217.0,90.8,28.0,36.0,77.8,2.4,0.3,8.0,57.0,14.0,0.0,566.0,556.0,7.0,6.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,503.0,3.0,6.0,23.0,2.46,20.0,1.0,0.0,0.0,1.0,1.0,3.0,0.32,3.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,5.0,3.0,4.0,5.0,16.0,31.3,11.0,12.0,0.0,12.0,11.0,23.0,13.0,0.0,666.0,27.0,149.0,356.0,167.0,34.0,666.0,10.0,5.0,50.0,4.0,40.0,400.0,2342.0,1331.0,27.0,17.0,0.0,7.0,5.0,497.0,33.0,70,58.6,6.0,2,0,2.42,23.0,12.0,11.0,1.17,-2.75,23.4,7.2,16.2,1.73,-0.99,0.0,4,8.0,1.0,3.0,0.0,0.0,0.0,72.0,15.0,12.0,55.6,Midfielder,Mobile Midfielder,3.20839524355053,0.342127454880981,1.64017141368671,0.251425977198921,0.782139790862635,0.337697068554505,0.218442670326758,0.349888733802318,-0.0541305793732571,0.20922445420566,0.0282347743893732,0.0837967983560741,0.0395881620117002,0.0233139795235062,0.0417083106253603,-0.006836842131058,1952.37182617,3.0,0.48621939813029574
21,46.67,52.17,7,9,105,10,31,7,28.0,3,33.33,9,4,1,0,0,1,thomas muller,fc bayern munchen,2023-2024,gerbundesliga,GER,"MF,FW",34,1989.0,14,7,572,6.4,1,6,7,1,0,0,0,0,2.2,2.2,4.9,7.1,16.0,28.0,58.0,0.16,0.94,1.1,0.16,1.1,0.35,0.76,1.11,0.35,1.11,14.0,5,35.7,2.2,0.79,0.07,0.2,12.5,0.0,0.18,-1.2,-1.2,189.0,260.0,72.7,2723.0,840.0,110.0,128.0,85.9,63.0,95.0,66.3,8.0,18.0,44.4,3.6,1.1,28.0,21.0,18.0,6.0,260.0,247.0,12.0,0.0,5.0,1.0,23.0,11.0,0.0,0.0,0.0,0.0,189.0,1.0,8.0,43.0,6.77,33.0,0.0,1.0,5.0,2.0,2.0,7.0,1.1,6.0,0.0,0.0,0.0,0.0,1.0,11.0,8.0,1.0,4.0,6.0,7.0,15.0,46.7,8.0,14.0,0.0,14.0,0.0,11.0,2.0,0.0,322.0,4.0,19.0,107.0,198.0,47.0,322.0,6.0,3.0,50.0,3.0,50.0,186.0,807.0,489.0,16.0,13.0,5.0,6.0,9.0,244.0,58.0,41,39.7,0.0,7,2,2.64,22.0,4.0,18.0,2.83,0.86,18.0,3.8,14.1,2.23,0.14,0.0,3,7.0,2.0,23.0,0.0,0.0,0.0,19.0,12.0,8.0,60.0,Finisher,Progressive Forward,2.67961351260023,0.421617510723812,0.375804016318198,0.0251425977198921,-0.450861539408556,0.715247521308868,0.0880089534032341,0.18318230003998,-0.0386623754359521,0.189114672167256,0.0373226197667606,-0.0003163001209769,0.123324713857038,0.0129838909919638,0.024839929550561,0.0035831722671506,1952.37182617,3.0,0.5126395261001208
24,66.67,0.0,3,1,125,0,5,2,22.22,6,50.0,3,1,0,0,1,0,raphael guerreiro,fc bayern munchen,2023-2024,gerbundesliga,POR,"MF,DF",30,1993.0,6,3,377,4.2,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,4.0,19.0,14.0,0.24,0.0,0.24,0.24,0.24,0.16,0.01,0.17,0.16,0.17,8.0,2,25.0,1.91,0.48,0.13,0.5,19.4,0.0,0.09,0.3,0.3,214.0,246.0,87.0,2942.0,833.0,140.0,148.0,94.6,59.0,66.0,89.4,9.0,17.0,52.9,0.6,0.0,1.0,12.0,6.0,1.0,246.0,245.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,5.0,7.0,1.67,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,5.0,3.0,4.0,6.0,66.7,2.0,1.0,0.0,1.0,7.0,17.0,3.0,1.0,296.0,5.0,53.0,141.0,104.0,9.0,296.0,9.0,4.0,44.4,5.0,55.6,177.0,800.0,365.0,4.0,9.0,1.0,4.0,1.0,232.0,14.0,63,26.2,2.0,3,1,2.17,11.0,5.0,6.0,1.43,-1.19,10.8,3.4,7.4,1.77,-0.5,0.0,3,3.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,Midfielder,Ball Winning Midfielder,0.804359887661331,0.192022254348859,-0.763863942202488,-0.0628564942997303,-0.0611344543863941,-0.0887529305807149,0.0094531687957866,-0.145391737090599,-0.169889246955666,0.0591192536735384,0.0096663210278465,0.037680236874756,0.0066158479605637,0.0022589493126038,-0.0027702050195924,0.0062488320866564,1952.37182617,3.0,0.4522063004333031
37,57.81,70.21,7,1,151,1,5,1,100.0,47,72.31,11,2,0,1,0,0,dayot upamecano,fc bayern munchen,2023-2024,gerbundesliga,FRA,DF,25,1998.0,14,13,1140,12.7,1,0,1,1,0,0,1,0,0.9,0.9,0.4,1.3,14.0,79.0,2.0,0.08,0.0,0.08,0.08,0.08,0.07,0.03,0.1,0.07,0.1,8.0,2,25.0,0.63,0.16,0.13,0.5,11.4,0.0,0.11,0.1,0.1,1116.0,1192.0,93.6,22197.0,6695.0,337.0,350.0,96.3,648.0,685.0,94.6,126.0,142.0,88.7,0.7,-0.4,3.0,94.0,1.0,0.0,1192.0,1172.0,19.0,11.0,1.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,1116.0,1.0,7.0,17.0,1.34,16.0,0.0,0.0,0.0,1.0,0.0,3.0,0.24,3.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,13.0,10.0,1.0,13.0,22.0,59.1,9.0,9.0,4.0,5.0,9.0,33.0,34.0,1.0,1295.0,90.0,445.0,810.0,49.0,11.0,1295.0,6.0,3.0,50.0,3.0,50.0,925.0,5106.0,3062.0,14.0,8.0,0.0,4.0,1.0,1016.0,2.0,81,79.2,10.0,1,0,2.5,32.0,12.0,20.0,1.58,-3.52,33.5,8.8,24.7,1.95,-0.92,0.0,13,6.0,2.0,1.0,0.0,0.0,0.0,106.0,30.0,11.0,73.2,Central Def,Progressive Central Defender,3.24579153819609,0.256246700383902,1.52852381757348,0.0377138965798381,0.140382896873391,0.0808874594052337,0.177432793516767,1.09505269822972,-0.0450251958593721,0.0800966801438952,-8.27059135522761e-05,0.0077733847891253,0.0042167212533296,0.012533525785325,0.0741242889115366,-0.0183413459975127,1952.37182617,3.0,0.46406766461814986
92,56.79,66.67,17,12,235,1,25,6,33.33,5,29.41,15,0,0,0,1,0,alphonso davies,fc bayern munchen,2023-2024,gerbundesliga,CAN,DF,23,2000.0,15,14,1178,13.1,0,3,3,0,0,0,0,0,0.3,0.3,1.6,1.9,72.0,67.0,81.0,0.0,0.23,0.23,0.0,0.23,0.02,0.12,0.14,0.02,0.14,7.0,2,28.6,0.53,0.15,0.0,0.0,22.2,0.0,0.04,-0.3,-0.3,872.0,986.0,88.4,12671.0,3136.0,514.0,565.0,91.0,320.0,344.0,93.0,18.0,35.0,51.4,2.1,1.4,25.0,55.0,21.0,5.0,986.0,863.0,123.0,23.0,3.0,1.0,17.0,100.0,0.0,0.0,0.0,0.0,872.0,0.0,17.0,50.0,3.83,43.0,1.0,2.0,1.0,2.0,1.0,9.0,0.69,6.0,1.0,1.0,0.0,1.0,0.0,24.0,12.0,12.0,10.0,2.0,13.0,25.0,52.0,12.0,18.0,1.0,17.0,14.0,38.0,26.0,1.0,1158.0,40.0,323.0,528.0,331.0,37.0,1158.0,76.0,42.0,55.3,31.0,40.8,755.0,4720.0,2650.0,72.0,55.0,21.0,26.0,12.0,792.0,81.0,79,81.8,10.0,1,1,2.53,42.0,11.0,31.0,2.37,0.31,37.0,10.0,27.0,2.06,-0.41,0.0,11,17.0,0.0,17.0,0.0,1.0,0.0,119.0,9.0,5.0,64.3,Wide Def,Aggressive Wide Defender,2.60043294481349,0.198674842982355,1.2989151386564,0.276568574918813,-0.0056217742878949,0.201353143943089,0.639161705030427,0.164102519015923,0.0515723751107817,0.0528041031795314,0.0123958167934262,-0.0079571972175127,0.0059792742801166,0.0469806993248785,0.0040406850570154,-0.0155089571680076,1952.37182617,3.0,0.4454481702316503
17,38.64,70.59,0,4,107,1,5,0,0.0,37,53.62,9,1,0,1,0,0,minjae kim,fc bayern munchen,2023-2024,gerbundesliga,KOR,DF,27,1996.0,15,15,1317,14.6,1,0,1,1,0,0,2,0,0.6,0.6,0.2,0.8,9.0,89.0,2.0,0.07,0.0,0.07,0.07,0.07,0.04,0.02,0.06,0.04,0.06,6.0,2,33.3,0.41,0.14,0.17,0.5,9.7,0.0,0.1,0.4,0.4,1386.0,1494.0,92.8,23469.0,9149.0,583.0,613.0,95.1,730.0,765.0,95.4,61.0,89.0,68.5,0.4,-0.2,5.0,89.0,2.0,0.0,1494.0,1446.0,46.0,15.0,3.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,1386.0,2.0,5.0,15.0,1.03,14.0,1.0,0.0,0.0,0.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,9.0,4.0,3.0,7.0,16.0,43.8,9.0,19.0,9.0,10.0,31.0,47.0,47.0,1.0,1631.0,195.0,735.0,859.0,43.0,13.0,1631.0,1.0,1.0,100.0,0.0,0.0,944.0,4293.0,2319.0,9.0,8.0,0.0,5.0,4.0,1218.0,2.0,88,91.5,13.0,0,0,2.53,46.0,14.0,32.0,2.19,-1.47,41.2,10.2,31.0,2.12,-0.21,0.0,15,0.0,1.0,1.0,0.0,0.0,0.0,96.0,48.0,19.0,71.6,Central Def,Reactive Central Defender,3.36058263258939,0.229652571703147,1.64331491196679,0.0628564942997302,0.0327537817186857,0.0021070735452737,-0.026124506334935,1.39473618187623,0.134906618033895,0.0535025514631408,0.000168237769481,-0.0037026426747235,-0.0026474710031003,-0.0036309570510588,0.0762582609925219,-0.012815687885623,1952.37182617,3.0,0.4509275378758234
27,50.94,51.72,9,5,171,4,11,3,21.43,15,62.5,5,1,1,1,0,0,noussair mazraoui,fc bayern munchen,2023-2024,gerbundesliga,MAR,DF,26,1997.0,11,10,820,9.1,0,3,3,0,0,0,3,0,0.8,0.8,1.5,2.2,24.0,81.0,52.0,0.0,0.33,0.33,0.0,0.33,0.09,0.16,0.25,0.09,0.25,9.0,1,11.1,0.99,0.11,0.0,0.0,17.5,0.0,0.09,-0.8,-0.8,623.0,707.0,88.1,9194.0,3376.0,362.0,389.0,93.1,229.0,251.0,91.2,21.0,30.0,70.0,1.8,1.5,11.0,69.0,11.0,3.0,707.0,627.0,78.0,9.0,0.0,0.0,14.0,69.0,0.0,0.0,0.0,0.0,623.0,2.0,18.0,28.0,3.08,23.0,0.0,2.0,1.0,0.0,2.0,7.0,0.77,7.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,5.0,5.0,2.0,5.0,10.0,50.0,5.0,9.0,1.0,8.0,13.0,25.0,16.0,1.0,798.0,28.0,180.0,403.0,217.0,24.0,798.0,15.0,6.0,40.0,8.0,53.3,463.0,2037.0,1121.0,24.0,16.0,5.0,8.0,5.0,561.0,52.0,75,56.9,7.0,1,1,2.55,36.0,7.0,29.0,3.18,2.02,28.6,6.4,22.1,2.43,0.68,0.0,9,9.0,0.0,14.0,0.0,0.0,0.0,45.0,15.0,14.0,51.7,Wide Def,Progressive Wide Defender,2.49173353273899,0.273482948715255,1.0406298667975,0.175998184039245,0.143096858123335,0.145195742659232,0.0186787522026627,0.754171400725955,-0.0440772845670399,0.120156227063917,0.0175539945613617,0.0138310754062489,0.0148649628413052,0.0002904004612209,0.0806273030871745,-0.0051948256563524,1952.37182617,3.0,0.48542055849888516
67,50.76,38.46,11,12,272,3,19,8,30.77,14,60.87,15,1,0,0,1,0,konrad laimer,fc bayern munchen,2023-2024,gerbundesliga,AUT,"DF,MF",26,1997.0,16,11,1093,12.1,0,2,2,0,0,0,2,0,0.5,0.5,2.4,2.8,46.0,62.0,60.0,0.0,0.16,0.16,0.0,0.16,0.04,0.19,0.23,0.04,0.23,9.0,3,33.3,0.74,0.25,0.0,0.0,14.8,0.0,0.05,-0.5,-0.5,765.0,878.0,87.1,11216.0,2977.0,442.0,488.0,90.6,288.0,318.0,90.6,22.0,28.0,78.6,2.7,-0.4,14.0,51.0,13.0,4.0,878.0,785.0,90.0,15.0,0.0,3.0,21.0,71.0,4.0,0.0,0.0,0.0,765.0,3.0,19.0,36.0,2.96,29.0,3.0,1.0,2.0,1.0,0.0,5.0,0.41,4.0,0.0,0.0,1.0,0.0,0.0,33.0,18.0,12.0,12.0,9.0,17.0,31.0,54.8,14.0,27.0,4.0,23.0,12.0,45.0,10.0,1.0,1006.0,17.0,204.0,536.0,277.0,35.0,1006.0,35.0,16.0,45.7,17.0,48.6,633.0,3305.0,1797.0,46.0,30.0,13.0,11.0,10.0,695.0,60.0,68,75.9,8.0,5,0,2.56,41.0,10.0,31.0,2.55,1.0,36.1,8.8,27.3,2.24,0.44,0.0,22,11.0,1.0,21.0,0.0,0.0,0.0,69.0,10.0,12.0,45.5,Wide Def,Aggressive Wide Defender,2.41562003874389,0.198907413986231,0.964516372802402,0.314282471498651,0.100975306406001,0.365666658749256,0.214306316983048,0.0831582009019119,0.0385612046494204,0.0455806923348924,0.0206695379335653,0.0007747436931418,0.0223940577606042,0.0133125437097832,-0.001298114248742,-0.0084553928764181,1952.37182617,3.0,0.4591274139255827
16,48.48,25.0,2,3,54,2,4,3,33.33,5,71.43,5,0,0,0,0,0,aleksandar pavlovic,fc bayern munchen,2023-2024,gerbundesliga,GER,MF,19,2004.0,6,3,312,3.5,0,2,2,0,0,0,2,0,0.3,0.3,0.6,0.9,7.0,27.0,3.0,0.0,0.58,0.58,0.0,0.58,0.09,0.18,0.27,0.09,0.27,4.0,0,0.0,1.15,0.0,0.0,0.0,19.0,0.0,0.08,-0.3,-0.3,215.0,239.0,90.0,3585.0,954.0,104.0,110.0,94.5,90.0,96.0,93.8,16.0,24.0,66.7,0.7,1.4,4.0,22.0,3.0,1.0,239.0,226.0,12.0,5.0,0.0,1.0,9.0,0.0,7.0,1.0,5.0,0.0,215.0,1.0,0.0,14.0,4.03,9.0,3.0,1.0,0.0,0.0,1.0,3.0,0.86,1.0,1.0,0.0,0.0,0.0,1.0,12.0,10.0,5.0,6.0,1.0,7.0,11.0,63.6,4.0,6.0,0.0,6.0,2.0,14.0,3.0,0.0,275.0,5.0,49.0,172.0,55.0,3.0,275.0,3.0,2.0,66.7,1.0,33.3,168.0,1004.0,503.0,7.0,6.0,2.0,3.0,3.0,187.0,3.0,52,21.7,2.0,3,5,3.0,12.0,3.0,9.0,2.6,0.36,9.9,2.0,7.9,2.27,0.16,0.0,9,1.0,0.0,9.0,0.0,0.0,0.0,26.0,2.0,5.0,28.6,Deep Midfielder,Defensive Deep Midfielder,0.837468823338563,0.241577545193816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1952.37182617,3.0,0.4235876795386815
